Id,Country Code,Year,"Number of Homicides per 100,000",Country
1,ALG,2019,5321,Algeria
2,ANG,2019,532,Angola
3,BEN,2019,53,Benin
4,BOT,2019,34,Botswana
5,BUF,2019,45,Burkina Faso
6,BUR,2019,43,Burundi
7,CAV,2019,33,Cabo Verde
8,CAM,2019,67,Cameroon
9,CAR,2019,23,Central African Republic
10,CHA,2019,2,Chad
11,COM,2019,23,Comoros
12,CON,2019,21,Congo
13,CIV,2019,54,Cote d'Ivoire
14,DRC,2019,21,Democratic Republic of the Congo
15,DJI,2019,34,Djibouti
16,EGY,2019,7844,Egypt
17,EQG,2019,87,Equatorial Guinea
18,ERI,2019,35,Eritrea
19,ESW,2019,30,Eswatini
20,ETH,2019,45,Ethiopia
21,GAB,2019,46,Gabon
22,GAM,2019,76,Gambia
23,GHA,2019,344,Ghana
24,GUI,2019,64,Guinea
25,GUB,2019,23,Guinea-Bissau
26,KEN,2019,64,Kenya
27,LES,2019,45,Lesotho
28,LIR,2019,34,Liberia
29,LIB,2019,34,Libya
30,MAD,2019,5,Madagascar
31,MAW,2019,64,Malawi
32,MAL,2019,74,Mali
33,MAU,2019,74,Mauritania
34,MAR,2019,75,Mauritius
35,MAY,2019,75,Mayotte
36,MOR,2019,755,Morocco
37,MOZ,2019,34,Mozambique
38,NAM,2019,45,Namibia
39,NIG,2019,301,Niger
40,NIR,2019,10980,Nigeria
41,REU,2019,34,Reunion
42,RWA,2019,67,Rwanda
43,SAH,2019,6,Saint Helena
44,STP,2019,0,Sao Tome and Principe
45,SEN,2019,54,Senegal
46,SEY,2019,8,Seychelles
47,SIL,2019,44,Sierra Leone
48,SOM,2019,9876,Somalia
49,SAR,2019,10151,South Africa
50,SOS,2019,987,South Sudan
51,SUD,2019,876,Sudan
52,TOG,2019,54,Togo
53,TUN,2019,65,Tunisia
54,UGA,2019,2560,Uganda
55,URT,2019,624,United Republic of Tanzania
56,WES,2019,44,Western Sahara
57,ZAM,2019,65,Zambia
58,ZIM,2019,65,Zimbabwe
