Id,Country Code,Year,"Number of Homicides per 100,000",Country
1,ALG,2012,5454,Algeria
2,ANG,2012,344,Angola
3,BEN,2012,334,Benin
4,BOT,2012,56,Botswana
5,BUF,2012,76,Burkina Faso
6,BUR,2012,67,Burundi
7,CAV,2012,76,Cabo Verde
8,CAM,2012,76,Cameroon
9,CAR,2012,67,Central African Republic
10,CHA,2012,76,Chad
11,COM,2012,76,Comoros
12,CON,2012,44,Congo
13,CIV,2012,54,Cote d'Ivoire
14,DRC,2012,21,Democratic Republic of the Congo
15,DJI,2012,34,Djibouti
16,EGY,2012,4344,Egypt
17,EQG,2012,87,Equatorial Guinea
18,ERI,2012,43,Eritrea
19,ESW,2012,30,Eswatini
20,ETH,2012,43,Ethiopia
21,GAB,2012,56,Gabon
22,GAM,2012,34,Gambia
23,GHA,2012,434,Ghana
24,GUI,2012,55,Guinea
25,GUB,2012,23,Guinea-Bissau
26,KEN,2012,90,Kenya
27,LES,2012,45,Lesotho
28,LIR,2012,34,Liberia
29,LIB,2012,34,Libya
30,MAD,2012,34,Madagascar
31,MAW,2012,43,Malawi
32,MAL,2012,54,Mali
33,MAU,2012,34,Mauritania
34,MAR,2012,25,Mauritius
35,MAY,2012,23,Mayotte
36,MOR,2012,577,Morocco
37,MOZ,2012,34,Mozambique
38,NAM,2012,45,Namibia
39,NIG,2012,301,Niger
40,NIR,2012,8787,Nigeria
41,REU,2012,34,Reunion
42,RWA,2012,566,Rwanda
43,SAH,2012,6,Saint Helena
44,STP,2012,6,Sao Tome and Principe
45,SEN,2012,54,Senegal
46,SEY,2012,8,Seychelles
47,SIL,2012,44,Sierra Leone
48,SOM,2012,8787,Somalia
49,SAR,2012,7677,South Africa
50,SOS,2012,987,South Sudan
51,SUD,2012,876,Sudan
52,TOG,2012,54,Togo
53,TUN,2012,65,Tunisia
54,UGA,2012,566,Uganda
55,URT,2012,666,United Republic of Tanzania
56,WES,2012,45,Western Sahara
57,ZAM,2012,76,Zambia
58,ZIM,2012,56,Zimbabwe
