Id,Country Code,Year,"Number of Homicides per 100,000",Country
1,ALG,2014,6565,Algeria
2,ANG,2014,767,Angola
3,BEN,2014,436,Benin
4,BOT,2014,56,Botswana
5,BUF,2014,35,Burkina Faso
6,BUR,2014,57,Burundi
7,CAV,2014,48,Cabo Verde
8,CAM,2014,38,Cameroon
9,CAR,2014,94,Central African Republic
10,CHA,2014,54,Chad
11,COM,2014,36,Comoros
12,CON,2014,85,Congo
13,CIV,2014,76,Cote d'Ivoire
14,DRC,2014,75,Democratic Republic of the Congo
15,DJI,2014,75,Djibouti
16,EGY,2014,5666,Egypt
17,EQG,2014,87,Equatorial Guinea
18,ERI,2014,43,Eritrea
19,ESW,2014,30,Eswatini
20,ETH,2014,43,Ethiopia
21,GAB,2014,56,Gabon
22,GAM,2014,46,Gambia
23,GHA,2014,644,Ghana
24,GUI,2014,46,Guinea
25,GUB,2014,45,Guinea-Bissau
26,KEN,2014,65,Kenya
27,LES,2014,45,Lesotho
28,LIR,2014,43,Liberia
29,LIB,2014,654,Libya
30,MAD,2014,54,Madagascar
31,MAW,2014,43,Malawi
32,MAL,2014,98,Mali
33,MAU,2014,34,Mauritania
34,MAR,2014,25,Mauritius
35,MAY,2014,23,Mayotte
36,MOR,2014,856,Morocco
37,MOZ,2014,34,Mozambique
38,NAM,2014,45,Namibia
39,NIG,2014,987,Niger
40,NIR,2014,8676,Nigeria
41,REU,2014,34,Reunion
42,RWA,2014,566,Rwanda
43,SAH,2014,6,Saint Helena
44,STP,2014,7,Sao Tome and Principe
45,SEN,2014,65,Senegal
46,SEY,2014,6,Seychelles
47,SIL,2014,46,Sierra Leone
48,SOM,2014,7665,Somalia
49,SAR,2014,7677,South Africa
50,SOS,2014,676,South Sudan
51,SUD,2014,876,Sudan
52,TOG,2014,54,Togo
53,TUN,2014,65,Tunisia
54,UGA,2014,566,Uganda
55,URT,2014,876,United Republic of Tanzania
56,WES,2014,97,Western Sahara
57,ZAM,2014,76,Zambia
58,ZIM,2014,57,Zimbabwe
